                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7956,                  2.488,                  1.646,                0.84008,                0.75145,                 0.8234,                0.48013,                 1.3306,                 1.5714,                 1.3952,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.4994,                 1.3037,                 1.3918,                0.94965,                0.87222,                0.91581,                0.54992,                 1.3149,                 1.3502,                 1.3026,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.4666,                0.93449,                 1.2946,                0.95449,                0.90751,                0.94081,                0.57672,                  1.306,                  1.286,                 1.2823,             0.00027446,             0.00027446,             0.00027446
                      4,                  1.487,                 0.9256,                 1.3291,                0.95503,                0.86705,                0.92473,                0.56453,                 1.3078,                 1.1141,                 1.2797,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.4488,                0.88341,                 1.2918,                  0.933,                0.88548,                0.92459,                0.57419,                  1.298,                0.78152,                 1.2923,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.3863,                0.94535,                  1.279,                0.88157,                0.91908,                0.92973,                0.56319,                 1.3026,                0.76177,                 1.3208,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.4626,                0.88345,                 1.3345,                0.94842,                0.85036,                0.94815,                0.57929,                 1.3197,                0.72815,                   1.27,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.3567,                0.77339,                 1.2629,                0.72097,                0.84971,                0.74002,                 0.4226,                 1.3732,                0.98393,                 1.2956,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.4055,                0.78735,                 1.2528,                0.89941,                0.81503,                0.89618,                0.55229,                 1.3169,                0.91331,                 1.2793,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.3261,                0.76656,                 1.2742,                0.62989,                0.75723,                0.68192,                0.40923,                 1.3551,                 1.0103,                 1.2819,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.3977,                0.80366,                 1.2489,                0.31721,                0.82659,                0.30947,                0.17723,                 1.3579,                 1.9558,                 1.3123,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.3567,                0.76069,                 1.2908,                0.80916,                0.83328,                0.86474,                 0.5237,                 1.3598,                0.89069,                 1.3095,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.4268,                 0.7353,                 1.3093,                0.88346,                0.70114,                0.82706,                0.51192,                 1.3637,                 1.0635,                 1.3371,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.3984,                0.72435,                 1.2991,                0.59249,                0.46821,                0.51543,                0.24448,                 2.0124,                 1.7433,                 1.7165,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.4408,                0.76794,                 1.3102,                0.92141,                0.80347,                0.91121,                0.55377,                 1.3519,                0.95734,                  1.324,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.3613,                0.73931,                 1.3317,                 0.8672,                0.74566,                0.81297,                0.44709,                 1.6108,                 1.2084,                 1.4204,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.4287,                0.80697,                 1.3425,                0.64278,                0.59538,                0.58593,                0.28518,                 1.8873,                  1.812,                 1.7222,              0.0014139,              0.0014139,              0.0014139
                     18,                  1.383,                0.74641,                 1.2733,                0.83426,                0.75723,                 0.8678,                0.50833,                 1.4511,                 1.1779,                 1.3297,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.3866,                0.74558,                 1.2815,                0.82361,                0.80968,                0.87482,                0.51872,                 1.3798,                 1.0239,                 1.2945,               0.001545,               0.001545,               0.001545
                     20,                 1.2783,                0.67894,                 1.2159,                0.91333,                0.85284,                0.91102,                0.54141,                  1.441,                0.82931,                 1.3422,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.2963,                0.68327,                 1.2557,                0.90247,                0.80228,                0.89556,                0.50631,                 1.4932,                0.94805,                 1.3821,               0.001604,               0.001604,               0.001604
                     22,                  1.374,                0.70136,                 1.2914,                0.76261,                0.61272,                0.70155,                0.35535,                 1.7512,                 1.5003,                 1.6461,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3391,                0.73241,                 1.2744,                0.57024,                0.58291,                0.55799,                0.24171,                 2.0011,                 1.9064,                  1.827,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3402,                 0.7348,                 1.2437,                0.71056,                0.58382,                0.69556,                0.38959,                 1.6214,                 1.4075,                 1.5445,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3549,                0.74284,                 1.2901,                0.61769,                0.67052,                0.65866,                0.37133,                 1.6308,                 1.3626,                 1.6044,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3658,                0.67899,                 1.2644,                0.82879,                0.81147,                0.86414,                0.54402,                 1.3825,                0.99199,                 1.3484,               0.001505,               0.001505,               0.001505
                     27,                 1.3119,                0.66616,                 1.2026,                0.93051,                0.86127,                0.92209,                0.53711,                 1.4413,                0.89646,                 1.3201,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2798,                0.66617,                 1.2065,                 0.9124,                0.90307,                 0.9349,                0.58497,                 1.3497,                0.78487,                 1.3021,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3166,                0.68161,                 1.2814,                0.90377,                0.92294,                0.95087,                0.58619,                 1.3698,                0.70828,                 1.3088,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3067,                0.66423,                 1.2458,                0.89032,                0.91329,                0.92752,                0.58355,                 1.3585,                0.72581,                  1.275,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.267,                 0.6244,                 1.2081,                0.86245,                0.86127,                0.90928,                0.56879,                 1.3656,                0.76179,                 1.2872,               0.001406,               0.001406,               0.001406
                     32,                 1.2718,                 0.6456,                 1.2207,                0.88326,                0.86127,                0.89118,                0.55638,                 1.3359,                0.82119,                 1.2884,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2805,                0.63667,                 1.2455,                 0.9047,                0.82313,                0.91023,                0.56129,                 1.3539,                 0.7873,                 1.2643,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2873,                0.64356,                 1.2261,                0.86062,                0.82659,                0.89774,                 0.5563,                 1.3714,                0.90891,                 1.2748,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2171,                0.62487,                 1.1749,                0.74062,                0.82081,                0.83816,                0.54869,                 1.3048,                 1.2746,                 1.2719,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2992,                0.64066,                  1.218,                0.83227,                0.83175,                0.87995,                0.57791,                 1.2579,                0.95546,                 1.2446,               0.001307,               0.001307,               0.001307
                     37,                 1.2235,                0.63218,                 1.2106,                0.93835,                0.89595,                0.94179,                0.59955,                  1.316,                0.68781,                 1.2432,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2487,                0.67533,                 1.2041,                0.94163,                0.93252,                0.96084,                0.59283,                 1.3834,                0.69193,                 1.2882,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2279,                0.66282,                 1.2048,                0.95155,                0.93064,                0.97313,                0.58923,                 1.3617,                0.67063,                 1.3106,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2287,                0.65389,                 1.2291,                0.96403,                0.92952,                0.96554,                0.61429,                 1.2814,                0.56986,                 1.2756,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2651,                0.64808,                 1.2031,                 0.9632,                0.93642,                0.97463,                0.60894,                 1.3108,                0.60652,                 1.2897,               0.001208,               0.001208,               0.001208
                     42,                 1.2208,                0.61238,                 1.1791,                 0.9777,                0.93064,                 0.9809,                0.58939,                 1.3936,                0.63914,                 1.3352,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2669,                0.61783,                 1.2039,                0.94339,                0.96334,                0.98047,                0.59953,                 1.3564,                0.60992,                 1.2977,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1658,                0.59996,                 1.1541,                0.93637,                0.95376,                0.96888,                0.60847,                 1.2871,                0.61907,                 1.2494,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.144,                0.59817,                 1.1591,                0.92767,                0.96379,                 0.9724,                0.60552,                 1.3216,                0.62433,                  1.273,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1112,                0.57627,                 1.1454,                0.95313,                0.96532,                 0.9787,                0.62348,                 1.2898,                0.57607,                 1.2574,               0.001109,               0.001109,               0.001109
                     47,                 1.1385,                0.58154,                 1.1613,                0.94352,                 0.9657,                0.97868,                0.63385,                 1.2814,                0.56434,                 1.2513,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1449,                 0.5722,                 1.1634,                0.95988,                0.95954,                0.97569,                0.62776,                 1.2999,                0.56621,                 1.2613,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1247,                0.56893,                 1.1765,                0.92809,                0.95954,                0.96982,                0.61944,                 1.3184,                 0.5581,                 1.2434,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1928,                   0.59,                 1.1874,                0.94782,                0.94499,                0.96188,                0.62456,                 1.3423,                0.57308,                 1.2544,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1621,                0.57461,                 1.1544,                0.95352,                0.95376,                0.96901,                0.62373,                 1.2969,                0.57425,                 1.2363,                0.00101,                0.00101,                0.00101
                     52,                 1.1009,                0.56233,                 1.1099,                 0.9651,                0.96532,                0.97581,                0.61281,                 1.3331,                0.54899,                 1.2542,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1003,                0.54467,                 1.1733,                0.95857,                0.93628,                0.96328,                0.60247,                 1.3628,                0.56355,                 1.2664,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1081,                0.53868,                 1.1178,                0.96438,                 0.9389,                0.96025,                0.59332,                 1.3934,                0.57953,                 1.2777,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0461,                0.54124,                 1.0853,                0.95879,                0.94133,                0.96536,                 0.5943,                 1.3749,                0.58018,                 1.2735,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0884,                0.54879,                 1.1275,                0.95782,                 0.9189,                0.97162,                0.59916,                 1.3621,                0.57499,                  1.271,               0.000911,               0.000911,               0.000911
                     57,                 1.1416,                0.54973,                 1.1437,                0.94719,                0.93304,                 0.9685,                0.60655,                  1.377,                0.56019,                 1.2691,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1142,                0.55539,                 1.1194,                0.95833,                0.93642,                 0.9732,                0.60135,                 1.4086,                0.56252,                  1.284,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1191,                 0.5534,                 1.1509,                0.95737,                0.94798,                0.98291,                 0.6044,                 1.3957,                0.57417,                 1.2831,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0873,                0.54358,                 1.0997,                0.90871,                0.92486,                0.94397,                0.54461,                 1.5064,                0.63972,                 1.3386,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.056,                0.51854,                 1.1118,                0.94109,                0.93642,                0.96057,                 0.5459,                 1.5558,                0.61951,                 1.3542,               0.000812,               0.000812,               0.000812
                     62,                  1.163,                0.54965,                 1.1774,                0.96453,                0.94307,                0.98001,                0.57254,                 1.4676,                0.57841,                 1.3173,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1402,                0.55456,                 1.1546,                0.95622,                 0.9422,                0.97944,                0.60186,                 1.3551,                 0.5545,                 1.2834,              0.0007724,              0.0007724,              0.0007724
                     64,                0.99746,                0.50228,                 1.1261,                0.94743,                0.93766,                0.97415,                0.64059,                 1.2491,                0.51915,                 1.2521,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0554,                0.52679,                 1.1152,                0.95342,                0.94652,                0.96663,                0.62914,                    1.3,                0.53396,                 1.2625,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0941,                0.54063,                 1.1596,                0.94858,                0.95979,                0.97641,                0.60778,                 1.3936,                0.54221,                 1.3181,               0.000713,               0.000713,               0.000713
                     67,                 1.0332,                0.52214,                 1.1016,                0.92809,                0.97688,                0.97997,                0.60726,                 1.4146,                0.54321,                 1.3268,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0427,                0.53757,                 1.1036,                0.98188,                0.94798,                0.99095,                0.63123,                 1.3404,                0.52397,                 1.2814,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0917,                0.52398,                 1.1312,                0.97131,                0.97833,                0.99354,                0.63772,                 1.3437,                0.53303,                 1.2772,              0.0006536,              0.0006536,              0.0006536
                     70,                0.99361,                0.49437,                 1.0706,                0.97401,                0.96532,                0.99057,                0.63518,                 1.3246,                0.53493,                 1.2701,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0156,                0.51506,                 1.0778,                0.97083,                0.96179,                 0.9891,                0.63269,                 1.3111,                0.53042,                 1.2698,               0.000614,               0.000614,               0.000614
                     72,                0.96963,                0.49773,                 1.0537,                0.97294,                0.95954,                0.98148,                0.64178,                 1.3008,                 0.5128,                 1.2612,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0073,                0.50962,                  1.094,                0.98029,                0.95954,                0.98239,                0.64175,                  1.308,                0.50193,                 1.2642,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0466,                0.51399,                 1.1174,                0.95933,                0.95442,                0.98166,                0.63987,                 1.3097,                0.50185,                 1.2584,              0.0005546,              0.0005546,              0.0005546
                     75,                0.99033,                0.49139,                 1.0849,                0.93281,                0.95954,                0.97954,                0.63192,                 1.3388,                0.50707,                 1.2732,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0147,                0.49949,                 1.0663,                0.95913,                0.93642,                0.97924,                0.61643,                 1.3663,                0.50585,                 1.2941,               0.000515,               0.000515,               0.000515
                     77,                 1.0016,                0.49811,                 1.0813,                0.95943,                0.95696,                0.97754,                0.62646,                 1.3567,                 0.5006,                 1.2924,              0.0004952,              0.0004952,              0.0004952
                     78,                0.95198,                0.46867,                 1.0555,                0.96084,                0.95954,                0.97142,                0.62043,                 1.3539,                0.49643,                 1.2905,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97494,                0.47967,                 1.0648,                0.98787,                0.94176,                0.98009,                0.62582,                 1.3389,                0.49487,                 1.2878,              0.0004556,              0.0004556,              0.0004556
                     80,                0.91921,                0.46284,                 1.0416,                0.98211,                0.95183,                0.98169,                0.62813,                 1.3079,                 0.4826,                 1.2807,              0.0004358,              0.0004358,              0.0004358
                     81,                0.94644,                0.45101,                 1.0943,                0.97628,                0.95182,                0.97536,                0.63207,                 1.3094,                0.48176,                 1.2802,               0.000416,               0.000416,               0.000416
                     82,                0.98652,                0.47313,                 1.0681,                0.97244,                0.94798,                0.97419,                0.63402,                 1.3062,                0.48408,                   1.27,              0.0003962,              0.0003962,              0.0003962
                     83,                0.92962,                0.45673,                 1.0494,                0.95617,                 0.9422,                0.97004,                0.63502,                 1.3023,                0.48577,                 1.2659,              0.0003764,              0.0003764,              0.0003764
                     84,                0.86235,                0.44545,                 1.0174,                0.95862,                0.93749,                0.97071,                0.63512,                 1.3199,                0.49588,                 1.2785,              0.0003566,              0.0003566,              0.0003566
                     85,                0.96742,                0.47326,                 1.0438,                0.96551,                0.94798,                0.97461,                0.62536,                 1.3352,                0.50388,                 1.2892,              0.0003368,              0.0003368,              0.0003368
                     86,                0.93206,                0.46549,                 1.0396,                0.94664,                0.96532,                0.97736,                0.62535,                 1.3442,                0.50185,                 1.2919,               0.000317,               0.000317,               0.000317
                     87,                0.90758,                0.45552,                 1.0272,                0.95322,                0.96532,                0.97804,                0.62155,                 1.3515,                0.50067,                 1.2885,              0.0002972,              0.0002972,              0.0002972
                     88,                0.90878,                0.45032,                 1.0225,                0.94296,                0.95557,                0.97306,                0.61424,                 1.3764,                0.50182,                 1.2982,              0.0002774,              0.0002774,              0.0002774
                     89,                0.89046,                0.43454,                 1.0376,                0.95013,                0.95376,                0.97499,                0.60984,                 1.3655,                0.50749,                 1.2905,              0.0002576,              0.0002576,              0.0002576
                     90,                0.86149,                 0.4468,                 1.0185,                0.93278,                0.96248,                0.97289,                0.61249,                 1.3523,                0.50582,                 1.2856,              0.0002378,              0.0002378,              0.0002378
                     91,                0.86449,                 0.4119,                 1.0751,                0.95844,                0.93308,                0.97013,                0.62279,                 1.3267,                0.50161,                 1.2769,               0.000218,               0.000218,               0.000218
                     92,                0.87415,                0.42326,                 1.0661,                0.96079,                0.95376,                0.97111,                  0.628,                 1.3077,                 0.5007,                 1.2638,              0.0001982,              0.0001982,              0.0001982
                     93,                0.82257,                0.39736,                 1.0263,                0.96486,                0.95234,                0.96757,                 0.6205,                 1.3187,                0.49803,                  1.268,              0.0001784,              0.0001784,              0.0001784
                     94,                0.82917,                0.40538,                 1.0292,                0.96146,                 0.9422,                0.96596,                0.62493,                 1.3207,                0.49644,                 1.2717,              0.0001586,              0.0001586,              0.0001586
                     95,                0.83292,                 0.4084,                 1.0459,                0.96459,                0.94487,                0.96495,                0.62956,                 1.3174,                 0.4952,                 1.2752,              0.0001388,              0.0001388,              0.0001388
                     96,                0.82516,                0.39377,                 1.0098,                0.95791,                0.94798,                0.96351,                0.62813,                 1.2953,                0.48712,                 1.2716,               0.000119,               0.000119,               0.000119
                     97,                0.80946,                0.39435,                 1.0196,                0.95717,                0.94798,                0.96482,                0.63504,                 1.2878,                0.48439,                 1.2712,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.7718,                0.37741,                 1.0084,                0.95779,                0.94798,                0.96475,                0.64147,                 1.2821,                0.48227,                   1.27,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.78855,                0.38264,                 1.0032,                0.96279,                0.95376,                 0.9653,                0.64089,                 1.2803,                0.48139,                 1.2687,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.7852,                0.38002,                0.98984,                0.95842,                0.94798,                0.96506,                0.63667,                 1.2833,                0.48334,                 1.2678,               3.98e-05,               3.98e-05,               3.98e-05
